first_name,last_name,order_date,order_amount
Robin,Spencer,2023-12-30,4759.21
Casey,Moore,2026-06-13,5998.53
Kenneth,Baker,2025-12-24,5033.78
Michael,Smith,2023-08-29,932.81
Dana,Gray,2023-09-24,9019.94
Jacob,Smith,2026-01-09,8275.38
Melissa,Parsons,2026-08-22,4315.53
John,Le,2025-05-11,3704.40
Dominique,Ryan,2023-03-30,6976.72
Paul,Warren,2025-05-28,2295.63
Tyler,Arnold,2025-09-14,7895.76
Chloe,Morris,2025-02-19,3505.82
Danielle,Rodriguez,2026-03-25,978.07
Alexandra,Jones,2023-10-02,2545.92
Mary,Anderson,2024-04-21,9100.93
Morgan,Harris,2023-06-21,2833.38
Todd,Garcia,2026-01-18,4087.05
Ashley,Huff,2024-01-23,55.69
Diane,Fox,2023-01-15,5780.29
Jacqueline,Scott,2023-08-30,5198.09
Michael,Obrien,2025-02-07,6545.80
Chad,Conrad,2024-10-08,4089.04
Jason,Henry,2023-08-07,1548.63
Pamela,Miller,2026-08-27,5854.11
Laurie,Brown,2024-06-19,8549.91
Angela,Hurley,2025-05-17,5647.13
Robert,Wood,2026-06-07,2756.33
Jeanette,Colon,2025-03-24,7549.96
Joseph,Williams,2025-04-26,5521.49
Chad,Torres,2026-02-15,4825.19
Shirley,Yu,2025-01-28,5591.37
Colton,Hardy,2025-09-17,2538.52
Amanda,Lopez,2024-09-20,5776.93
Alicia,Wright,2025-03-26,7358.08
Colleen,White,2023-09-01,7478.39
Kara,Perry,2025-07-03,7831.30
Daniel,Fowler,2023-11-28,1003.68
Michael,Ellis,2025-11-07,4006.20
Elizabeth,Andrade,2024-11-24,8008.73
Garrett,White,2026-06-11,6970.87
Richard,Morgan,2023-04-17,1608.22
Eric,Murillo,2026-07-26,53.90
Scott,Gomez,2023-07-06,8232.72
Leslie,Frey,2025-08-23,9258.68
Mark,Watson,2025-06-10,882.32
Kathryn,Jordan,2024-06-22,2218.48
Jessica,Franklin,2023-06-13,6090.67
Anna,Lewis,2025-02-26,9306.91
Katie,Howe,2025-03-31,6140.04
Jonathan,Nixon,2025-12-03,2865.40
Seth,Sanders,2026-05-08,575.57
Jessica,Bird,2023-12-25,6403.27
Caitlin,Holmes,2025-06-18,108.09
Victoria,Turner,2025-11-27,2860.78
Kevin,Walker,2023-03-10,7839.80
Melissa,Smith,2025-11-11,5158.62
Lynn,Norris,2024-04-19,6152.28
Joshua,Spencer,2023-03-15,3598.04
Angela,Howe,2023-01-01,9756.47
Eric,Johnson,2023-06-27,9968.16
Michael,Taylor,2025-03-29,3531.92
Michael,Perkins,2025-03-20,4055.10
Jesse,Shepherd,2024-02-15,5177.90
Christopher,Ross,2023-05-21,9191.85
Samantha,Navarro,2026-01-30,2845.65
Jennifer,Mcguire,2026-02-19,9150.17
Gerald,Petersen,2024-12-13,3475.40
Hannah,Johnston,2024-07-20,2263.73
Rebecca,Larson,2024-02-03,4548.13
Kevin,Cross,2025-04-07,5749.49
Barbara,Miller,2024-06-18,1751.17
Brian,Wise,2025-11-02,1065.54
Michael,Montoya,2023-05-29,5032.18
Robert,Parrish,2024-11-27,9470.20
Molly,Perez,2025-11-17,9567.13
Denise,Guzman,2026-01-06,8131.65
Alexander,Waters,2026-03-23,2502.16
Patrick,Torres,2025-06-25,9660.58
Blake,Fernandez,2026-02-27,4836.81
Edward,Shaw,2024-05-13,7574.97
Jeffrey,Williams,2025-07-28,6816.26
Jessica,Long,2026-04-16,8620.36
Sean,Larson,2025-09-14,1163.57
William,Walker,2023-05-19,3827.35
Keith,Foster,2024-03-27,6769.45
David,Miller,2024-04-15,8001.81
Ashley,Williams,2025-04-24,9554.49
Raymond,Miller,2025-11-23,5356.98
Warren,Ayala,2024-06-23,2483.33
David,Taylor,2023-07-10,3989.90
Anita,Freeman,2024-12-01,761.21
Denise,Gonzalez,2024-01-01,4766.07
Christina,Fitzgerald,2024-12-25,2186.44
John,Jones,2026-03-20,2691.49
Kimberly,Morris,2024-01-25,4990.49
Sandra,Davis,2024-02-13,2349.38
Emily,Henderson,2024-05-10,8727.54
Michael,Flores,2024-02-28,2292.84
Brittney,Johnson,2024-05-26,8363.50
Kevin,Huerta,2024-12-30,1560.80
Christina,Branch,2023-08-07,1199.66
Scott,Thomas,2023-06-10,6758.44
Brady,Meyers,2025-10-05,6138.65
James,Brooks,2026-01-13,9579.96
Katherine,Farrell,2025-09-14,3712.59
Daniel,Brown,2024-10-07,4923.91
Stacy,Mcintosh,2026-03-22,8687.81
Misty,Wilkins,2025-10-02,1829.53
Alexander,Benson,2025-11-12,2803.38
Daniel,Cole,2024-03-30,7501.94
Andrew,Clark,2023-09-20,542.43
Amanda,Harris,2025-05-16,4783.72
Alexandra,Green,2026-01-12,326.59
Timothy,Blair,2024-12-12,3937.77
Donald,Hale,2023-12-24,4572.50
Andrew,Aguilar,2023-09-04,6982.74
Elizabeth,Williams,2025-07-31,3157.19
George,Campbell,2023-01-18,119.19
Kristina,Williamson,2024-03-07,3794.90
Brian,Pena,2023-07-26,3255.03
Alan,Price,2026-06-08,8618.55
Joseph,Christian,2024-01-19,5486.08
Donna,Lin,2024-04-30,2694.81
Andrew,Dillon,2026-06-09,3431.62
Debra,Hall,2024-01-12,4988.20
Oscar,Bray,2024-03-07,4191.51
Cory,Stewart,2025-02-01,3651.41
Michelle,Schmidt,2025-03-31,2797.01
Jacob,Mason,2024-01-04,5714.52
Stephen,House,2026-03-25,6860.43
Andrew,Wright,2023-07-24,7208.43
Alyssa,Cook,2024-04-27,5553.84
Phillip,Moore,2025-02-19,1961.43
Michael,Bell,2023-11-03,4730.39
Colleen,Young,2023-01-20,1766.89
Tiffany,Mason,2025-10-20,1345.58
Lisa,Garrett,2026-07-15,5170.55
Natasha,Zamora,2024-10-08,7853.54
Lisa,Johnson,2024-09-06,2510.49
Angela,Ramirez,2026-03-08,478.04
Edward,Prince,2023-07-22,6905.73
Diane,Miller,2023-05-03,2155.46
Patrick,Yu,2024-06-04,4765.91
Cheyenne,Garrett,2026-07-13,963.92
Jeremy,Allen,2024-11-16,2598.43
Eric,Waller,2025-01-07,5603.93
Renee,Murphy,2024-06-11,3442.06
Amy,Clark,2025-04-23,1213.25
Dillon,Weaver,2026-05-25,1990.38
Lauren,Huffman,2026-03-25,6499.00
Kyle,Thornton,2026-01-07,1746.21
Alexandria,Taylor,2024-08-05,3551.73
Wendy,Daugherty,2025-11-11,4875.45
Dustin,Fitzpatrick,2025-07-04,8896.43
Sally,Stewart,2025-02-19,6137.02
Angela,Fry,2025-08-07,6317.48
David,Stewart,2023-10-24,8682.70
Nichole,Acosta,2026-08-04,8077.36
Kathy,Beard,2024-11-21,4218.74
Robert,Jenkins,2026-06-08,5716.80
Scott,Peck,2023-05-27,792.04
Patricia,Mahoney,2024-12-04,2282.95
Joshua,Maxwell,2024-10-10,6530.47
Daniel,Lopez,2024-07-01,6054.24
Kathryn,Salazar,2025-03-20,2713.21
Joseph,Bradley,2025-06-30,7809.95
Jerry,Hall,2025-01-13,7479.20
Grace,Howard,2025-12-02,9655.29
Hailey,Woods,2025-04-27,1674.01
Wayne,Jacobs,2023-02-17,1251.27
Jennifer,Brooks,2024-04-25,6620.56
Melissa,Henry,2023-06-13,2106.50
Devin,Lee,2025-03-24,1030.99
Antonio,Duran,2023-05-11,9367.99
Alexis,Nelson,2025-08-27,5484.78
Robert,Newton,2023-02-23,7709.56
Vanessa,Todd,2025-12-09,7650.19
Carl,Ho,2023-06-20,1040.18
Valerie,Camacho,2026-06-19,1553.59
Tracy,Nguyen,2025-03-09,3094.39
Stephen,Wright,2024-05-21,7376.19
Richard,Williams,2025-06-26,6265.17
Jill,James,2023-09-26,5267.89
Lawrence,Carr,2023-12-16,286.68
Julia,Wheeler,2024-12-31,8603.82
Alicia,Liu,2024-10-28,8642.54
Kristin,Meyer,2025-08-14,9749.83
Shannon,Wilcox,2026-01-12,9348.63
Bobby,Forbes,2026-01-28,4449.00
April,Foster,2026-01-09,1771.19
Jill,Grant,2026-05-08,4565.97
Zachary,Mccoy,2026-07-26,8773.05
Brandon,Carter,2025-06-09,5235.07
Raymond,Torres,2026-08-02,5338.30
Maria,Murray,2024-12-12,4817.03
Roberto,Austin,2024-04-10,8047.26
Brian,Black,2025-06-23,3079.37
Douglas,Gallegos,2025-04-24,2598.81
Shannon,Sharp,2024-09-13,106.55
Daniel,Osborne,2025-12-07,8153.97
Sharon,Horton,2023-10-07,3439.50
Derek,Gutierrez,2025-08-18,5351.45
Shannon,White,2025-10-04,9469.62
Brittany,Marquez,2025-09-04,2996.80
James,Gibson,2025-05-31,7979.84
John,Holt,2026-05-07,2312.92
Rebecca,Hogan,2023-01-15,5482.57
Jennifer,Martinez,2024-01-22,4117.94
Danny,Cole,2026-02-22,4371.62
Michael,Mills,2024-05-26,1633.53
Patrick,Moody,2026-08-15,3897.84
William,Herring,2025-02-13,2206.70
Nicholas,James,2023-06-12,4222.97
Kayla,Barr,2024-05-05,5166.58
Ariana,Keller,2026-06-09,8075.93
Edward,Melton,2024-07-10,2847.48
Harold,Joseph,2025-12-25,8088.27
Robert,Collins,2025-04-25,1880.82
Kayla,Griffin,2023-05-21,1824.89
Courtney,Wilson,2024-08-16,1104.45
David,Harris,2025-07-21,6177.67
Cindy,King,2024-07-11,7005.02
Stephen,Foley,2025-10-04,1878.70
Amy,Smith,2023-02-09,1522.34
Nicole,Young,2025-12-31,222.29
Brianna,Alvarez,2023-07-29,2821.86
Robert,Miller,2023-09-14,7152.24
Carol,Sanchez,2023-01-17,2328.87
Amy,Harvey,2023-11-05,148.23
Angela,Bryan,2024-03-20,3419.78
Brandon,Hernandez,2024-09-30,7857.46
Denise,Johnson,2025-10-17,9979.63
Melissa,Estrada,2025-08-07,6969.64
Mary,Evans,2023-03-06,3303.15
Samantha,Williams,2023-10-27,561.33
Robert,Thompson,2025-03-14,714.77
Emily,Carr,2025-08-20,1816.85
Heather,Larson,2024-05-27,8172.68
Kristin,Thompson,2023-01-26,1220.49
Stanley,Riley,2024-05-24,3848.59
Sarah,Davis,2025-06-26,2472.37
Kevin,Richardson,2023-03-10,1992.60
Nicholas,Jones,2023-07-12,5211.86
Ronald,Pierce,2024-03-02,4728.78
Kelly,Taylor,2024-10-01,9362.21
Heather,Hill,2023-11-21,6292.01
Alison,Warren,2023-03-28,7447.49
Heather,Salazar,2026-01-30,5209.74
Daniel,Blair,2024-06-02,4812.81
Cristina,Benitez,2024-09-03,1988.04
Timothy,Barker,2023-04-17,8636.70
Sarah,Andersen,2024-03-22,9732.76
Justin,Lynch,2024-04-28,6329.45
Leslie,Fox,2024-10-26,151.66
Wanda,Gomez,2024-07-19,5847.38
David,Hart,2025-03-21,7891.64
April,Welch,2023-01-19,9688.37
Travis,White,2026-04-05,7834.96
Chelsea,Erickson,2025-08-31,6884.37
Tiffany,Smith,2023-11-14,3714.61
Andrew,Garrett,2023-07-03,2487.97
David,Charles,2025-10-20,914.92
Lauren,Duarte,2026-06-20,3384.88
Robert,Cook,2026-07-04,601.46
Ann,Walsh,2024-12-29,6446.10
Alex,Harris,2026-01-03,7914.86
Juan,Tyler,2023-09-15,4878.94
Kyle,Hunter,2024-10-10,9816.77
Mario,Smith,2026-08-13,7567.21
Gina,Peterson,2025-06-17,7332.15
Jennifer,Gilbert,2023-02-13,6892.80
Anthony,Thompson,2025-01-03,7244.26
Mark,Morgan,2024-05-28,8986.72
Emily,Hendricks,2025-09-20,7066.55
Laura,Brewer,2026-02-18,2947.85
Timothy,Burton,2025-09-30,1898.57
Patricia,Herrera,2024-01-18,5436.66
Matthew,Bowers,2024-10-24,7324.28
Robert,Newton,2024-07-17,8676.74
Mary,Evans,2026-05-11,9144.82
Jessica,Stewart,2026-02-09,1604.27
Amanda,Clark,2025-12-23,1551.10
Gina,Marsh,2024-08-28,8194.36
Pamela,Gomez,2026-01-14,3671.76
Tara,Ramirez,2023-01-02,7759.40
Anthony,Terrell,2025-11-02,3791.05
Courtney,Kirby,2024-01-15,8829.43
Ashley,Price,2026-06-23,8568.43
Brooke,Hancock,2026-06-24,2388.62
Karen,Thornton,2023-05-10,6583.23
Leonard,Johnson,2026-01-08,8190.67
Robert,Crawford,2024-01-24,5241.17
John,Hayes,2025-10-15,7657.57
Stephanie,Robinson,2023-11-12,6130.77
Kevin,Rodriguez,2024-10-22,4098.63
Kristen,Strickland,2024-10-21,1105.53
Robin,Wallace,2025-12-07,6589.24
Angel,Webb,2023-03-31,8352.09
Vincent,Lee,2023-09-23,1787.21
Sandra,Oconnor,2023-03-06,2021.59
Alexandra,Rowe,2025-09-21,1916.97
Douglas,Wiggins,2023-03-07,5710.55
Lynn,Hurley,2025-03-06,6579.55
Erica,Anderson,2025-12-12,6240.07
Jenny,Stevens,2026-04-23,2560.13
Jennifer,Boyd,2025-01-20,2208.00
Adam,Randolph,2023-05-26,131.85
Gloria,Wheeler,2024-03-03,6557.83
Christopher,Owens,2023-06-13,4681.12
Brandon,Meyer,2026-08-01,607.94
Donna,Edwards,2026-02-16,7435.02
Becky,Collins,2025-05-01,8220.43
Patricia,Flores,2023-04-30,8236.60
James,Hill,2024-06-28,5290.67
Luis,Alexander,2023-05-25,8344.72
David,Hernandez,2023-06-09,9446.08
Joshua,Smith,2025-11-29,972.09
Cindy,Palmer,2024-04-18,5317.07
Jamie,Bell,2024-01-24,1932.00
Lucas,Thomas,2024-05-24,5700.70
Janet,Campbell,2024-01-02,5584.67
John,Jones,2026-02-17,4152.43
Christina,Morgan,2023-08-05,7663.06
Scott,Anderson,2026-03-26,3580.27
Thomas,Lowe,2025-07-28,7025.79
Daniel,Brown,2025-05-24,8828.35
Ronald,White,2023-12-08,7924.82
Caitlin,Watkins,2026-01-31,4016.17
Mary,Lyons,2024-11-22,6575.65
Christina,Edwards,2025-12-29,9984.33
Lisa,Marquez,2025-06-26,9335.26
Emily,Ferguson,2024-10-07,5501.26
Terri,Campos,2024-10-26,8448.69
Steven,Anderson,2025-04-24,7642.07
Lisa,Gillespie,2025-05-31,8261.72
Taylor,Bryant,2024-10-24,6084.52
Gabrielle,Mckinney,2026-02-27,5456.71
Steven,Hall,2025-02-07,7657.31
Jeffrey,Callahan,2024-06-04,3600.72
Christina,Durham,2025-07-15,4475.55
Philip,Lyons,2025-03-24,2.96
Elizabeth,Mccormick,2023-03-12,9829.57
Nicole,Chavez,2026-05-05,164.01
Anthony,Alvarez,2023-10-04,9934.12
Michael,Murray,2024-09-10,66.68
George,Tate,2024-03-30,2149.01
Cassandra,Anderson,2024-10-06,217.99
Dakota,Roth,2024-07-19,9191.19
Laura,Nguyen,2025-11-13,5563.67
Debra,Sparks,2026-03-16,1547.99
Amanda,Morales,2023-03-19,4604.23
Robert,Oliver,2023-11-16,1384.94
Amy,Dickson,2025-01-21,8896.36
Patrick,Peterson,2024-05-26,2330.71
Lisa,Garza,2024-09-07,919.96
Kristen,Graham,2025-03-29,5691.07
Kristin,Stephens,2024-03-21,7342.92
Joel,Bates,2024-10-26,7929.24
Christian,Galvan,2023-12-21,4883.27
Audrey,Tucker,2026-03-26,8195.32
Brittany,Ford,2023-07-15,5952.71
Angela,Short,2024-09-07,374.68
Gregory,Blanchard,2026-03-26,3816.08
Chad,Rodriguez,2023-04-25,9218.78
Lisa,Wise,2024-11-15,3479.95
Nicholas,Snyder,2025-06-08,4165.80
Donna,Davis,2023-09-04,8697.99
Lisa,Clay,2024-04-09,7477.03
Rebecca,Fields,2026-05-18,9286.59
Aaron,Thomas,2026-07-22,7774.40
Edward,Schmidt,2025-02-22,542.22
Peter,Lane,2025-12-09,412.78
James,Maldonado,2026-01-10,5649.56
Leslie,Hudson,2024-10-31,5024.51
Robin,Torres,2024-03-28,1532.82
Sherry,Graham,2025-03-15,9710.42
Toni,Cooper,2026-05-03,5752.97
Christopher,Smith,2023-07-04,2221.63
Valerie,Powell,2024-08-16,7863.89
David,Phillips,2023-10-31,1322.76
Mike,Dunn,2023-06-19,4759.07
Brian,Warner,2023-04-11,5481.97
Lori,Howard,2024-06-21,851.70
Michelle,Glenn,2025-10-24,4345.47
Joe,Park,2023-09-25,7620.56
Phillip,Flores,2025-09-11,5593.40
Patrick,James,2025-09-26,3953.79
Amy,Bates,2026-03-16,1961.79
Thomas,Lopez,2026-06-15,9970.78
Patrick,Middleton,2025-12-09,2463.21
Mary,Moore,2023-05-27,2663.30
Whitney,Santiago,2025-05-30,3234.79
Dennis,Jones,2026-03-25,896.86
Alfred,Griffith,2025-04-27,4235.98
Tommy,Kim,2024-12-14,1905.71
Veronica,Miller,2024-12-06,5939.17
Dawn,Perry,2023-02-19,7697.04
Stephen,Mccormick,2023-12-13,9876.52
Cassandra,Simmons,2026-06-16,8216.01
Hector,Hicks,2025-06-24,6232.19
Andrea,Cole,2025-06-21,449.73
Michael,Lopez,2024-04-23,1997.65
Cassandra,Lane,2025-02-04,1560.75
Melanie,Young,2023-06-25,1124.60
Walter,Jenkins,2023-04-22,2431.24
Amy,Richardson,2026-06-25,9267.36
Tiffany,Carroll,2024-08-12,138.32
Janet,Wilson,2023-08-16,3051.87
Timothy,Vaughn,2025-08-22,228.46
Douglas,Simon,2024-03-04,7400.38
Tonya,Terrell,2024-03-09,2038.81
Kimberly,Marshall,2025-12-07,7503.79
Christian,Wu,2026-01-28,4830.78
Christopher,Kennedy,2023-10-17,6951.01
Judith,Horne,2023-02-07,3766.69
Christian,Schultz,2025-12-14,435.78
